,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
244,1.247257006304255e-16,1.1826674958970866,0.8527770299674549,20.0,16.0,2.0
245,0.0003658627120271745,1.1905453317779195,0.9638506254475199,21.0,19.0,3.0
246,0.0002654215619574605,1.149792542263902,1.1795463678487577,22.0,17.0,3.0
247,0.017002879642007456,1.1550776707779173,1.0337614316454113,20.0,13.0,3.0
248,3.005771865579034e-16,1.1252463185811519,1.0124567281005608,17.0,15.0,2.0
249,0.0010039702002638338,1.1980341170724,1.4072600141871952,20.0,13.0,3.0
250,0.04301704500331981,1.107581596283046,0.9978522809168123,20.0,15.0,4.0
251,0.07150141402353592,1.1332577221867866,1.1593526522072932,24.0,17.0,4.0
252,0.029488499003155998,1.1296521851087076,0.9534079395441672,18.0,14.0,4.0
253,0.06230216506239923,1.1579671877498758,1.0810643348639088,15.0,12.0,4.0
254,0.0,1.1284887003895772,1.1533399439062764,21.0,16.0,3.0
255,6.453638610445041e-05,1.148737254115132,0.9985612440779742,24.0,16.0,3.0
256,0.009727086307609888,1.177005062298942,1.2303689108069393,26.0,17.0,4.0
257,0.06815188727516916,1.1027838814223214,0.9905022567383872,14.0,10.0,2.0
258,0.04048939531064387,1.1323937972027949,1.075813646243014,11.0,10.0,3.0
259,0.004795249089066758,1.1565701570367748,1.127201256848782,23.0,15.0,3.0
260,0.0005210629842253506,1.1943902846034409,1.2193494613866551,20.0,13.0,3.0
261,0.007520728121330694,1.1831998895965474,1.0807857509603733,19.0,16.0,4.0
262,2.594487140153102e-16,1.1597329686291504,1.0240265683629861,15.0,12.0,2.0
263,0.009813249725566183,1.1420974089492628,1.410945005297036,20.0,15.0,4.0
264,1.3270187088332273e-16,1.1732366990374001,0.9587985560801793,13.0,12.0,2.0
265,0.0018470896702661628,1.1718550778780714,1.178749875758964,18.0,15.0,3.0
266,0.0028211508332611694,1.109426453845453,0.9554594830826897,23.0,16.0,2.0
267,1.1297405521958784e-16,1.1396312805577529,1.2841993912095366,26.0,18.0,2.0
268,0.005295423086879354,1.1900570866425075,1.1986296543845254,22.0,18.0,4.0
269,0.0007198964243160326,1.1964433080656953,1.0772389111746214,22.0,17.0,3.0
270,0.005844916579338539,1.1813141857049363,0.9910368979414333,22.0,19.0,4.0
271,0.018410220654918135,1.1634328958734348,0.9795979357014983,22.0,15.0,3.0
272,0.003935275214227314,1.1183813787619454,1.0339804159439294,14.0,10.0,3.0
273,0.0014952290132611652,1.1974707119280772,0.9941267738028043,15.0,10.0,3.0
274,0.011810122423499013,1.1044615472284547,0.9408847659862798,16.0,13.0,3.0
275,0.0004568686126193401,1.1139422940473613,1.1875386907839398,15.0,11.0,3.0
276,0.0,1.160052423780775,1.0377590826566454,14.0,12.0,2.0
277,0.011075599242370745,1.1173921014997383,1.0904567658173576,15.0,13.0,3.0
278,0.00859978016435723,1.1856735599447987,1.0741051458296484,15.0,10.0,3.0
279,1.2851306563811154e-16,1.1285277364363342,1.1567041572216645,18.0,13.0,2.0
280,0.0,1.1466590674447605,1.0293876565711593,18.0,14.0,2.0
281,0.0014985065597496272,1.1456163063512006,1.0702986713335696,19.0,17.0,2.0
282,0.0017002197454809528,1.1093867751343833,1.2554854129276751,11.0,10.0,4.0
283,0.0,1.147658662009008,0.9218779992367746,19.0,13.0,2.0
284,0.04041582160273852,1.1525875099448546,0.9363972992334425,11.0,10.0,2.0
285,0.010760428259963097,1.1307932820023066,1.1572366069007043,18.0,12.0,3.0
286,0.01702669716723162,1.1150917747305231,1.1225390573724152,26.0,19.0,3.0
287,0.03284458462958713,1.1304384674734342,1.6922906623742666,26.0,17.0,4.0
288,0.006833336997125804,1.137309019510163,1.0930644323951682,11.0,10.0,3.0
289,0.015022263460706729,1.1786594618452926,1.4658039555507325,20.0,16.0,4.0
290,0.014867570751759481,1.1281549986784574,1.36598108750545,16.0,13.0,4.0
291,-1.462529256966405e-16,1.1199342065415157,1.0891855458488495,20.0,14.0,4.0
292,0.005660353799716109,1.1178676215028356,0.930549780426397,17.0,15.0,3.0
293,1.3408578548632626e-16,1.1985789877128359,0.940269387562098,27.0,19.0,2.0
294,0.0,1.1951199155569678,0.9773216006800285,15.0,10.0,2.0
295,0.0010329632748899192,1.1742325132228797,1.0948101514515105,23.0,18.0,3.0
296,0.0234455491980773,1.102892207331077,1.0453598055067455,17.0,15.0,3.0
297,0.0008145936218555538,1.1970171566208798,0.868680364150693,14.0,10.0,2.0
298,0.026750218589743517,1.1468132228528958,0.9799580504751847,23.0,17.0,3.0
299,0.0,1.192622074608946,1.716371710725153,19.0,14.0,4.0
300,1.3885679075907659e-16,1.1354363879461453,1.0179502688712758,21.0,16.0,2.0
301,0.002216090372018788,1.1493347125600868,0.8752582493833556,28.0,19.0,2.0
302,0.00226695551398058,1.1072489314654208,1.1888480163130737,24.0,16.0,2.0
303,0.04356475471831623,1.161170634998536,0.9792530388005504,18.0,14.0,3.0
304,0.0,1.1957962948004803,0.8807308560264463,24.0,18.0,2.0
305,0.0033297893775748933,1.1185781582382455,0.943057100551933,15.0,14.0,2.0
306,1.2300015719410747e-16,1.1395465373158666,0.9863471167941229,24.0,16.0,2.0
307,-1.828468712533618e-16,1.1327085920870423,0.9679968145438339,13.0,11.0,2.0
308,0.0014569927894906639,1.1143227537268734,1.170144924514927,20.0,19.0,3.0
309,0.001615035320989094,1.1155741348539714,1.3673457677909884,17.0,14.0,2.0
310,0.010364202658385878,1.1057162610324232,1.2486820093818918,18.0,15.0,3.0
311,0.00405276553148593,1.1165014030027887,1.1916011533191275,21.0,18.0,3.0
312,0.017409580317212705,1.1439260492173535,1.1587587133410207,22.0,19.0,3.0
313,0.0015285494936231128,1.1141444090009085,1.1743548821612957,17.0,16.0,2.0
314,1.3903042730961689e-16,1.1772274170277597,1.1161137280947027,23.0,19.0,2.0
315,1.8565979444726474e-16,1.1612146672345347,1.0706579042930118,22.0,16.0,3.0
316,0.0009910339520836481,1.124119171723085,1.0116948506876184,21.0,19.0,3.0
317,-1.2656984198943256e-16,1.1070881691706413,0.9092282626367183,18.0,15.0,2.0
318,0.0002224503455068624,1.1933695355594003,1.0422808201999119,14.0,13.0,4.0
319,0.0027634487650820805,1.1226367462668543,1.1817735689957232,17.0,16.0,4.0
320,0.0,1.1639925949472105,0.9906026000845055,13.0,10.0,2.0
321,0.0029131746245448942,1.122011887307793,1.0108915590094238,15.0,12.0,3.0
322,0.012061472879770833,1.134775438669384,1.566294517978146,19.0,15.0,4.0
323,0.004962151966732444,1.1465164839969282,1.4690756001529406,19.0,17.0,4.0
324,0.006743102599128497,1.105036834361114,1.0149608069005485,14.0,13.0,4.0
325,1.5698502368374717e-16,1.1191670486382514,1.1125407774322797,15.0,13.0,2.0
326,0.0,1.1616249781316847,0.886960467333248,21.0,17.0,2.0
